"observation","hour","map_component","prob_component_1","prob_component_2","prob_component_3"
700,12,"2",0.00629790195626397,0.99300769255413,0.000694405489606138
701,15,"2",0.00196692671938955,0.994632174807594,0.00340089847301619
702,12,"2",0.00629790195626397,0.99300769255413,0.000694405489606138
703,23,"2",0.0994959895897134,0.413683629235366,0.486820381174921
704,12,"1",0.00629790195626397,0.99300769255413,0.000694405489606138
705,22,"3",0.0177219133481277,0.162782674427026,0.819495412224847
706,17,"3",0.00587412902512925,0.737477973175197,0.256647897799674
707,8,"1",0.961127664523373,0.0257363926592165,0.0131359428174104
708,5,"1",0.99766516491829,0.00136075247604319,0.000974082605667028
709,14,"2",0.00155430437817764,0.997700352994166,0.000745342627656525
710,20,"3",0.00188079640431833,0.0423312459410136,0.955787957654668
711,21,"3",0.00399946593837372,0.0612012845556356,0.934799249505991
712,2,"1",0.94676830694166,0.0487627743913264,0.00446891866701388
713,21,"3",0.00399946593837372,0.0612012845556356,0.934799249505991
714,21,"3",0.00399946593837372,0.0612012845556356,0.934799249505991
715,11,"2",0.0344106762975509,0.962997512328702,0.00259181137374703
716,15,"2",0.00196692671938955,0.994632174807594,0.00340089847301619
717,19,"3",0.00205657926372036,0.0707749505782095,0.92716847015807
718,16,"2",0.0035614190546116,0.966673468821078,0.0297651121243107
719,4,"1",0.996562021801504,0.00264834347000784,0.000789634728488004
720,4,"1",0.996562021801504,0.00264834347000784,0.000789634728488004
721,17,"2",0.00587412902512925,0.737477973175197,0.256647897799674
722,10,"2",0.246390787636817,0.740960079220036,0.0126491331431465
723,19,"3",0.00205657926372036,0.0707749505782095,0.92716847015807
724,13,"2",0.00220729446131466,0.997363276046115,0.000429429492569945
725,21,"3",0.00399946593837372,0.0612012845556356,0.934799249505991
726,13,"2",0.00220729446131466,0.997363276046115,0.000429429492569945
727,3,"1",0.989022177668677,0.00968469416339992,0.00129312816792258
728,13,"2",0.00220729446131466,0.997363276046115,0.000429429492569945
729,4,"1",0.996562021801504,0.00264834347000784,0.000789634728488004
730,9,"1",0.773570134385657,0.203414340833268,0.0230155247810753
731,20,"3",0.00188079640431833,0.0423312459410136,0.955787957654668
732,2,"1",0.94676830694166,0.0487627743913264,0.00446891866701388
733,6,"1",0.996411245219544,0.00159376011288139,0.00199499466757465
734,9,"1",0.773570134385657,0.203414340833268,0.0230155247810753
735,7,"1",0.990360390081249,0.0044422412325017,0.00519736868624962
736,5,"1",0.99766516491829,0.00136075247604319,0.000974082605667028
737,20,"3",0.00188079640431833,0.0423312459410136,0.955787957654668
738,1,"2",0.757679004928895,0.216443111013307,0.0258778840577979
739,16,"2",0.0035614190546116,0.966673468821078,0.0297651121243107
740,14,"2",0.00155430437817764,0.997700352994166,0.000745342627656525
741,13,"2",0.00220729446131466,0.997363276046115,0.000429429492569945
